protein_accession,method,lcr_start,lcr_end,pfam_accession,pfam_name,domain_start,domain_end,overlap_length,lcr_domain_fraction,domain_lcr_fraction,is_domain_edge
Q9BRS8,AlcoR,45,100,PF05383,La,97,153,4,0.0714,0.0702,True
Q9BRS8,AlcoR,112,156,PF05383,La,97,153,42,0.9333,0.7368,True
Q6ZRY4,AlcoR,7,125,PF00076,RRM_1,33,94,62,0.521,1.0,True
Q93091,AlcoR,108,120,PF00074,RnaseA,29,147,13,1.0,0.1092,False
A0A499FIA3,AlcoR,52,76,PF02870,Methyltransf_1N,38,113,25,1.0,0.3289,False
Q96QU8,AlcoR,124,136,PF08389,Xpo1,103,277,13,1.0,0.0743,False
Q96QU8,AlcoR,223,234,PF08389,Xpo1,103,277,12,1.0,0.0686,False
Q96QU8,AlcoR,249,262,PF08389,Xpo1,103,277,14,1.0,0.08,False
P17039,AlcoR,139,152,PF00096,zf-C2H2,149,170,4,0.2857,0.1818,True
P17039,AlcoR,162,177,PF00096,zf-C2H2,149,170,9,0.5625,0.4091,True
Q15393,AlcoR,864,942,PF03178,CPSF_A,863,1183,79,1.0,0.2461,True
Q15393,AlcoR,949,1003,PF03178,CPSF_A,863,1183,55,1.0,0.1713,False
Q15393,AlcoR,1012,1217,PF03178,CPSF_A,863,1183,172,0.835,0.5358,True
Q16637,AlcoR,1,294,PF06003,SMN_Tudor,91,144,54,0.1837,1.0,True
Q9HC36,AlcoR,332,349,PF00588,SpoU_methylase,210,400,18,1.0,0.0942,False
Q9HC36,AlcoR,392,408,PF00588,SpoU_methylase,210,400,9,0.5294,0.0471,True
Q96AZ6,AlcoR,1,10,PF00929,RNase_T,8,162,3,0.3,0.0194,True
Q96AZ6,AlcoR,21,45,PF00929,RNase_T,8,162,25,1.0,0.1613,False
Q96AZ6,AlcoR,105,121,PF00929,RNase_T,8,162,17,1.0,0.1097,False
P13639,AlcoR,632,698,PF03764,EFG_IV,622,737,67,1.0,0.5776,True
P13639,AlcoR,722,795,PF03764,EFG_IV,622,737,16,0.2162,0.1379,True
F5H0R1,AlcoR,51,62,PF12874,zf-met,54,78,9,0.75,0.36,True
Q6L8Q7,AlcoR,303,316,PF03372,Exo_endo_phos,299,599,14,1.0,0.0465,True
Q6L8Q7,AlcoR,365,382,PF03372,Exo_endo_phos,299,599,18,1.0,0.0598,False
O14746,AlcoR,561,627,PF12009,Telomerase_RBD,460,592,32,0.4776,0.2406,True
Q32MZ4,AlcoR,88,169,PF09738,LRRFIP,23,316,82,1.0,0.2789,False
Q9BUQ8,AlcoR,436,820,PF00270,DEAD,415,615,180,0.4675,0.8955,True
Q9BUQ8,AlcoR,436,820,PF04851,ResIII,417,570,135,0.3506,0.8766,True
Q9BUQ8,AlcoR,436,820,PF00271,Helicase_C,651,759,109,0.2831,1.0,True
Q9BQC6,AlcoR,1,102,PF14978,MRP-63,13,101,89,0.8725,1.0,True
O15446,AlcoR,1,457,PF08208,RNA_polI_A34,38,254,217,0.4748,1.0,True
Q96G46,AlcoR,321,346,PF01207,Dus,309,544,26,1.0,0.1102,False
Q00341,AlcoR,141,154,PF00013,KH_1,153,212,2,0.1429,0.0333,True
Q9H2W6,AlcoR,38,53,PF11788,MRP-L46,45,141,9,0.5625,0.0928,True
Q969Y2,AlcoR,222,396,PF01926,MMR_HSR1,251,344,94,0.5371,1.0,True
Q07666,AlcoR,28,443,PF00013,KH_1,159,202,44,0.1058,1.0,True
P43897,AlcoR,1,325,PF00889,EF_TS,124,268,145,0.4462,1.0,True
Q92665,AlcoR,104,395,PF15433,MRP-S31,96,389,286,0.9795,0.9728,True
Q9NPD3,AlcoR,1,245,PF01138,RNase_PH,21,152,132,0.5388,1.0,True
Q9NPD3,AlcoR,1,245,PF03725,RNase_PH_C,155,219,65,0.2653,1.0,True
Q12996,AlcoR,1,121,PF05843,Suf,17,541,105,0.8678,0.2,True
Q12996,AlcoR,130,717,PF05843,Suf,17,541,412,0.7007,0.7848,True
Q13151,AlcoR,1,305,PF00076,RRM_1,9,70,62,0.2033,1.0,True
Q13151,AlcoR,1,305,PF16367,RRM_7,98,151,54,0.177,1.0,True
Q13151,AlcoR,1,305,PF00076,RRM_1,100,156,57,0.1869,1.0,True
Q5ST30,AlcoR,1,533,PF00133,tRNA-synt_1,113,730,421,0.7899,0.6812,True
Q5ST30,AlcoR,797,812,PF08264,Anticodon_1,779,927,16,1.0,0.1074,False
O95363,AlcoR,190,203,PF01409,tRNA-synt_2d,76,198,9,0.6429,0.0732,True
O94762,AlcoR,149,180,PF00270,DEAD,31,200,32,1.0,0.1882,False
O94762,AlcoR,149,180,PF04851,ResIII,33,165,17,0.5312,0.1278,True
O94762,AlcoR,182,343,PF00270,DEAD,31,200,19,0.1173,0.1118,True
O94762,AlcoR,182,343,PF00271,Helicase_C,255,354,89,0.5494,0.89,True
O94762,AlcoR,349,840,PF00271,Helicase_C,255,354,6,0.0122,0.06,True
Q7Z6E9,AlcoR,130,186,PF13696,zf-CCHC_2,156,176,21,0.3684,1.0,True
Q7Z6E9,AlcoR,130,186,PF00098,zf-CCHC,160,175,16,0.2807,1.0,True
O75818,AlcoR,95,108,PF08584,Ribonuc_P_40,75,346,14,1.0,0.0515,False
Q96E39,AlcoR,1,226,PF00076,RRM_1,10,80,71,0.3142,1.0,True
Q96E39,AlcoR,1,226,PF08081,RBM1CTR,173,217,45,0.1991,1.0,True
Q9Y6M1,AlcoR,220,231,PF00013,KH_1,196,260,12,1.0,0.1846,False
Q8TF46,AlcoR,388,763,PF00773,RNB,465,816,299,0.7952,0.8494,True
Q8TF46,AlcoR,765,925,PF00773,RNB,465,816,52,0.323,0.1477,True
P49411,AlcoR,217,231,PF00009,GTP_EFTU,58,251,15,1.0,0.0773,False
P49411,AlcoR,235,251,PF00009,GTP_EFTU,58,251,17,1.0,0.0876,True
P49411,AlcoR,298,310,PF03144,GTP_EFTU_D2,275,343,13,1.0,0.1884,False
P49411,AlcoR,314,329,PF03144,GTP_EFTU_D2,275,343,16,1.0,0.2319,False
P49411,AlcoR,409,429,PF03143,GTP_EFTU_D3,348,442,21,1.0,0.2211,False
Q8TDD1,AlcoR,234,881,PF00270,DEAD,120,283,50,0.0772,0.3049,True
Q8TDD1,AlcoR,234,881,PF04851,ResIII,134,281,48,0.0741,0.3243,True
Q8TDD1,AlcoR,234,881,PF00271,Helicase_C,324,433,110,0.1698,1.0,True
Q8TDD1,AlcoR,234,881,PF08147,DBP10CT,714,774,61,0.0941,1.0,True
Q96MX3,AlcoR,542,556,PF00096,zf-C2H2,543,565,14,0.9333,0.6087,True
P62875,AlcoR,1,11,PF01194,RNA_pol_N,2,59,10,0.9091,0.1724,True
P52272,AlcoR,55,67,PF11532,HnRNP_M_NLS,41,70,13,1.0,0.4333,True
Q8NDV7,AlcoR,1117,1148,PF10427,Ago_hook,1071,1200,32,1.0,0.2462,False
Q6P9B9,AlcoR,565,608,PF14838,INTS5_C,290,999,44,1.0,0.062,False
Q6P9B9,AlcoR,627,641,PF14838,INTS5_C,290,999,15,1.0,0.0211,False
Q6P9B9,AlcoR,657,720,PF14838,INTS5_C,290,999,64,1.0,0.0901,False
Q6P9B9,AlcoR,989,1006,PF14838,INTS5_C,290,999,11,0.6111,0.0155,True
Q9NRA8,AlcoR,48,301,PF10477,EIF4E-T,30,711,254,1.0,0.3724,False
Q9NRA8,AlcoR,309,652,PF10477,EIF4E-T,30,711,344,1.0,0.5044,False
O94992,AlcoR,151,167,PF15313,HEXIM,164,301,4,0.2353,0.029,True
Q9UJV9,AlcoR,232,247,PF00270,DEAD,205,384,16,1.0,0.0889,False
Q9UJV9,AlcoR,256,274,PF00270,DEAD,205,384,19,1.0,0.1056,False
Q9UJV9,AlcoR,423,453,PF00271,Helicase_C,420,527,31,1.0,0.287,True
Q6GMV3,AlcoR,46,78,PF01981,PTH2,26,139,33,1.0,0.2895,False
Q6GMV3,AlcoR,114,134,PF01981,PTH2,26,139,21,1.0,0.1842,True
Q5T1V6,AlcoR,283,300,PF00270,DEAD,227,393,18,1.0,0.1078,False
Q5T1V6,AlcoR,283,300,PF04851,ResIII,242,387,18,1.0,0.1233,False
Q5T1V6,AlcoR,327,356,PF00270,DEAD,227,393,30,1.0,0.1796,False
Q5T1V6,AlcoR,327,356,PF04851,ResIII,242,387,30,1.0,0.2055,False
Q5T1V6,AlcoR,376,399,PF00270,DEAD,227,393,18,0.75,0.1078,True
Q5T1V6,AlcoR,376,399,PF04851,ResIII,242,387,12,0.5,0.0822,True
Q5T1V6,AlcoR,514,532,PF00271,Helicase_C,429,540,19,1.0,0.1696,True
B0QYK0,AlcoR,398,613,PF00076,RRM_1,325,403,6,0.0278,0.0759,True
B0QYK0,AlcoR,398,613,PF00641,Zn_ribbon_RanBP,480,510,31,0.1435,1.0,True
P26641,AlcoR,270,281,PF00647,EF1G,275,381,7,0.5833,0.0654,True
P26641,AlcoR,288,304,PF00647,EF1G,275,381,17,1.0,0.1589,False
Q14147,AlcoR,156,175,PF00270,DEAD,171,315,5,0.25,0.0345,True
Q14147,AlcoR,183,199,PF00270,DEAD,171,315,17,1.0,0.1172,False
Q14147,AlcoR,207,229,PF00270,DEAD,171,315,23,1.0,0.1586,False
Q14147,AlcoR,264,278,PF00270,DEAD,171,315,15,1.0,0.1034,False
Q14147,AlcoR,293,310,PF00270,DEAD,171,315,18,1.0,0.1241,True
Q9NQ50,AlcoR,100,112,PF09812,MRP-L28,45,199,13,1.0,0.0839,False
F8W6I7,AlcoR,32,47,PF00076,RRM_1,16,82,16,1.0,0.2388,False
F8W6I7,AlcoR,56,71,PF00076,RRM_1,16,82,16,1.0,0.2388,False
F8W6I7,AlcoR,114,131,PF16367,RRM_7,105,170,18,1.0,0.2727,True
F8W6I7,AlcoR,114,131,PF00076,RRM_1,107,166,18,1.0,0.3,True
F8W6I7,AlcoR,152,168,PF16367,RRM_7,105,170,17,1.0,0.2576,True
F8W6I7,AlcoR,152,168,PF00076,RRM_1,107,166,15,0.8824,0.25,True
F8W6I7,AlcoR,250,267,PF11627,HnRNPA1_LC,242,279,18,1.0,0.4737,True
P52815,AlcoR,80,117,PF16320,Ribosomal_L12_N,63,113,34,0.8947,0.6667,True
Q86XU0,AlcoR,283,308,PF00096,zf-C2H2,263,285,3,0.1154,0.1304,True
Q86XU0,AlcoR,283,308,PF00096,zf-C2H2,291,313,18,0.6923,0.7826,True
Q8WXA9,AlcoR,73,94,PF00076,RRM_1,68,136,22,1.0,0.3188,True
Q8WXA9,AlcoR,103,122,PF00076,RRM_1,68,136,20,1.0,0.2899,False
Q2NKX8,AlcoR,188,200,PF04851,ResIII,95,260,13,1.0,0.0783,False
Q2NKX8,AlcoR,188,200,PF00270,DEAD,119,266,13,1.0,0.0878,False
Q2NKX8,AlcoR,218,231,PF04851,ResIII,95,260,14,1.0,0.0843,False
Q2NKX8,AlcoR,218,231,PF00270,DEAD,119,266,14,1.0,0.0946,False
Q6PKG0,AlcoR,1006,1020,PF21071,LARP1_HEAT,874,1022,15,1.0,0.1007,True
O43143,AlcoR,241,255,PF00270,DEAD,150,296,15,1.0,0.102,False
O43143,AlcoR,264,284,PF00270,DEAD,150,296,21,1.0,0.1429,False
O43143,AlcoR,291,303,PF00270,DEAD,150,296,6,0.4615,0.0408,True
O43143,AlcoR,319,340,PF00271,Helicase_C,337,476,4,0.1818,0.0286,True
O43143,AlcoR,348,365,PF00271,Helicase_C,337,476,18,1.0,0.1286,False
O43143,AlcoR,371,389,PF00271,Helicase_C,337,476,19,1.0,0.1357,False
O43143,AlcoR,401,421,PF00271,Helicase_C,337,476,21,1.0,0.15,False
O43143,AlcoR,429,447,PF00271,Helicase_C,337,476,19,1.0,0.1357,False
O43143,AlcoR,455,478,PF00271,Helicase_C,337,476,22,0.9167,0.1571,True
O43143,AlcoR,536,557,PF04408,WHD_HA2,539,567,19,0.8636,0.6552,True
O43143,AlcoR,566,609,PF04408,WHD_HA2,539,567,2,0.0455,0.069,True
P82979,AlcoR,18,32,PF02037,SAP,8,43,15,1.0,0.4167,True
A2RTX5,AlcoR,312,351,PF07973,tRNA_SAD,329,377,23,0.575,0.4694,True
A2RTX5,AlcoR,364,380,PF07973,tRNA_SAD,329,377,14,0.8235,0.2857,True
A2RTX5,AlcoR,477,492,PF00587,tRNA-synt_2b,476,687,16,1.0,0.0755,True
A2RTX5,AlcoR,502,545,PF00587,tRNA-synt_2b,476,687,44,1.0,0.2075,False
A2RTX5,AlcoR,615,634,PF00587,tRNA-synt_2b,476,687,20,1.0,0.0943,False
A2RTX5,AlcoR,642,660,PF00587,tRNA-synt_2b,476,687,19,1.0,0.0896,False
P52597,AlcoR,354,371,PF28441,RRM_11,291,365,12,0.6667,0.16,True
P52597,AlcoR,354,371,PF00076,RRM_1,293,355,2,0.1111,0.0317,True
Q9NVN8,AlcoR,265,279,PF01926,MMR_HSR1,254,322,15,1.0,0.2174,False
Q9NVN8,AlcoR,316,336,PF01926,MMR_HSR1,254,322,7,0.3333,0.1014,True
P68104,AlcoR,172,210,PF00009,GTP_EFTU,5,237,39,1.0,0.1674,False
P68104,AlcoR,219,242,PF00009,GTP_EFTU,5,237,19,0.7917,0.0815,True
P68104,AlcoR,256,304,PF03144,GTP_EFTU_D2,260,325,45,0.9184,0.6818,True
P68104,AlcoR,313,346,PF03144,GTP_EFTU_D2,260,325,13,0.3824,0.197,True
P68104,AlcoR,313,346,PF03143,GTP_EFTU_D3,336,441,11,0.3235,0.1038,True
Q14684,AlcoR,1,82,PF05997,Nop52,9,251,74,0.9024,0.3045,True
Q14684,AlcoR,91,105,PF05997,Nop52,9,251,15,1.0,0.0617,False
Q14684,AlcoR,127,139,PF05997,Nop52,9,251,13,1.0,0.0535,False
Q14684,AlcoR,148,168,PF05997,Nop52,9,251,21,1.0,0.0864,False
Q14684,AlcoR,176,193,PF05997,Nop52,9,251,18,1.0,0.0741,False
Q14684,AlcoR,202,303,PF05997,Nop52,9,251,50,0.4902,0.2058,True
Q86U06,AlcoR,1,439,PF00076,RRM_1,168,232,65,0.1481,1.0,True
Q86U06,AlcoR,1,439,PF00076,RRM_1,265,334,70,0.1595,1.0,True
Q9BV44,AlcoR,154,507,PF02926,THUMP,217,283,67,0.1893,1.0,True
Q9BV44,AlcoR,154,507,PF01170,UPF0020,294,476,183,0.5169,1.0,True
Q6IEG0,AlcoR,1,339,PF05253,zf-U11-48K,56,79,24,0.0708,1.0,True
Q8TBZ8,AlcoR,1,446,PF00096,zf-C2H2,141,163,23,0.0516,1.0,True
Q8TBZ8,AlcoR,1,446,PF00096,zf-C2H2,169,191,23,0.0516,1.0,True
Q8TBZ8,AlcoR,1,446,PF00096,zf-C2H2,197,219,23,0.0516,1.0,True
Q8TBZ8,AlcoR,1,446,PF00096,zf-C2H2,253,275,23,0.0516,1.0,True
Q8TBZ8,AlcoR,1,446,PF00096,zf-C2H2,281,303,23,0.0516,1.0,True
Q8TBZ8,AlcoR,1,446,PF00096,zf-C2H2,309,331,23,0.0516,1.0,True
Q8TBZ8,AlcoR,1,446,PF00096,zf-C2H2,337,359,23,0.0516,1.0,True
Q8TBZ8,AlcoR,1,446,PF00096,zf-C2H2,365,387,23,0.0516,1.0,True
Q17RN3,AlcoR,81,94,PF10239,DUF2465,29,334,14,1.0,0.0458,False
Q04637,AlcoR,1502,1599,PF02020,W2,1521,1598,78,0.7959,1.0,True
Q9UPY3,AlcoR,1,361,PF04851,ResIII,42,207,166,0.4598,1.0,True
Q9UPY3,AlcoR,1,361,PF00270,DEAD,46,209,164,0.4543,1.0,True
Q9UPY3,AlcoR,368,676,PF00271,Helicase_C,499,553,55,0.178,1.0,True
Q7KZF4,AlcoR,216,262,PF00565,SNase,220,327,43,0.9149,0.3981,True
Q7KZF4,AlcoR,393,416,PF00565,SNase,368,495,24,1.0,0.1875,False
Q7KZF4,AlcoR,423,534,PF00565,SNase,368,495,73,0.6518,0.5703,True
Q7KZF4,AlcoR,536,843,PF00565,SNase,553,659,107,0.3474,1.0,True
Q7KZF4,AlcoR,536,843,PF00567,TUDOR,680,797,118,0.3831,1.0,True
Q9HAU5,AlcoR,626,751,PF02854,MIF4G,571,758,126,1.0,0.6702,True
Q9HAU5,AlcoR,901,960,PF02854,MIF4G,777,986,60,1.0,0.2857,False
Q9HAU5,AlcoR,968,979,PF02854,MIF4G,777,986,12,1.0,0.0571,True
Q9HAU5,AlcoR,985,997,PF02854,MIF4G,777,986,2,0.1538,0.0095,True
P26599,AlcoR,349,377,PF13893,RRM_5,338,459,29,1.0,0.2377,False
P26599,AlcoR,349,377,PF00076,RRM_1,365,431,13,0.4483,0.194,True
P26599,AlcoR,433,447,PF13893,RRM_5,338,459,15,1.0,0.123,False
O75437,AlcoR,318,332,PF00096,zf-C2H2,322,344,11,0.7333,0.4783,True
O75437,AlcoR,383,433,PF00096,zf-C2H2,378,400,18,0.3529,0.7826,True
O75437,AlcoR,383,433,PF00096,zf-C2H2,406,428,23,0.451,1.0,True
O75437,AlcoR,477,509,PF00096,zf-C2H2,462,484,8,0.2424,0.3478,True
O75437,AlcoR,477,509,PF00096,zf-C2H2,490,512,20,0.6061,0.8696,True
O75437,AlcoR,608,625,PF00096,zf-C2H2,602,624,17,0.9444,0.7391,True
O00410,AlcoR,86,104,PF03810,IBN_N,43,96,11,0.5789,0.2037,True
Q9UL40,AlcoR,120,211,PF12874,zf-met,135,158,24,0.2609,1.0,True
Q9UL40,AlcoR,120,211,PF12874,zf-met,186,209,24,0.2609,1.0,True
Q9UL40,AlcoR,120,211,PF12171,zf-C2H2_jaz,186,210,25,0.2717,1.0,True
Q92879,AlcoR,26,248,PF00076,RRM_1,19,84,59,0.2646,0.8939,True
Q92879,AlcoR,26,248,PF00076,RRM_1,110,174,65,0.2915,1.0,True
Q9H4L7,AlcoR,390,658,PF04851,ResIII,495,660,164,0.6097,0.988,True
Q9H4L7,AlcoR,390,658,PF00270,DEAD,518,660,141,0.5242,0.986,True
Q9H4L7,AlcoR,903,916,PF00271,Helicase_C,855,967,14,1.0,0.1239,False
Q9UGY1,AlcoR,23,43,PF09805,Nop25,20,97,21,1.0,0.2692,True
B0QYY4,AlcoR,254,274,PF12414,Fox-1_C,231,290,21,1.0,0.35,False
Q7Z2Z2,AlcoR,182,193,PF00009,GTP_EFTU,18,244,12,1.0,0.0529,False
Q9NTZ6,AlcoR,50,60,PF28441,RRM_11,5,83,11,1.0,0.1392,False
Q9NTZ6,AlcoR,78,99,PF28441,RRM_11,5,83,6,0.2727,0.0759,True
Q9NTZ6,AlcoR,307,318,PF28441,RRM_11,307,384,12,1.0,0.1538,True
Q9NTZ6,AlcoR,332,349,PF28441,RRM_11,307,384,18,1.0,0.2308,False
Q96P70,AlcoR,76,101,PF03810,IBN_N,43,117,26,1.0,0.3467,False
Q96P70,AlcoR,103,144,PF03810,IBN_N,43,117,15,0.3571,0.2,True
Q5T280,AlcoR,245,376,PF02598,Methyltrn_RNA_3,74,364,120,0.9091,0.4124,True
Q12905,AlcoR,1,390,PF07528,DZF_N,22,216,195,0.5,1.0,True
P62891,AlcoR,27,42,PF00832,Ribosomal_L39,9,49,16,1.0,0.3902,True
Q9Y2W6,AlcoR,33,97,PF00013,KH_1,55,117,43,0.6615,0.6825,True
Q9Y2W6,AlcoR,103,561,PF00013,KH_1,55,117,15,0.0327,0.2381,True
Q9Y2W6,AlcoR,103,561,PF00013,KH_1,127,192,66,0.1438,1.0,True
Q9Y2W6,AlcoR,103,561,PF00567,TUDOR,303,422,120,0.2614,1.0,True
Q9BYD2,AlcoR,1,267,PF01281,Ribosomal_L9_N,95,139,45,0.1685,1.0,True
Q9BYD2,AlcoR,1,267,PF22078,Ribosomal_bL9m_C,153,238,86,0.3221,1.0,True
Q5JPI9,AlcoR,1,236,PF05175,MTS,68,139,72,0.3051,1.0,True
Q5JPI9,AlcoR,1,236,PF13847,Methyltransf_31,81,213,133,0.5636,1.0,True
Q9UNY4,AlcoR,871,1162,PF00271,Helicase_C,996,1106,111,0.3801,1.0,True
O60506,AlcoR,240,271,PF00076,RRM_1,245,307,27,0.8438,0.4286,True
O60506,AlcoR,321,336,PF13893,RRM_5,334,410,3,0.1875,0.039,True
Q96IP4,AlcoR,1,91,PF07984,NTP_transf_7,66,384,26,0.2857,0.0815,True
Q14690,AlcoR,1779,1799,PF05843,Suf,1660,1866,21,1.0,0.1014,False
Q5T5C7,AlcoR,51,69,PF02403,Seryl_tRNA_N,2,76,19,1.0,0.2533,True
A0A0A0MRM9,AlcoR,632,648,PF05022,SRP40_C,633,705,16,0.9412,0.2192,True
O00442,AlcoR,202,216,PF01137,RTC,13,337,15,1.0,0.0462,False
O00442,AlcoR,202,216,PF05189,RTC_insert,184,285,15,1.0,0.1471,False
Q9UKA9,AlcoR,233,262,PF13893,RRM_5,167,260,28,0.9333,0.2979,True
Q9UKA9,AlcoR,233,262,PF00076,RRM_1,183,247,15,0.5,0.2308,True
Q9NXZ2,AlcoR,500,515,PF00271,Helicase_C,475,582,16,1.0,0.1481,False
A2PYH4,AlcoR,447,475,PF00270,DEAD,283,465,19,0.6552,0.1038,True
Q06787,AlcoR,1,75,PF05641,Agenet,63,117,13,0.1733,0.2364,True
Q06787,AlcoR,83,144,PF05641,Agenet,63,117,35,0.5645,0.6364,True
Q8NC51,AlcoR,121,232,PF04774,HABP4_PAI-RBP1,189,313,44,0.3929,0.352,True
Q99459,AlcoR,500,659,PF11831,Myb_Cef,404,654,155,0.9688,0.6175,True
Q9Y399,AlcoR,82,228,PF00318,Ribosomal_S2,84,180,97,0.6599,1.0,True
Q9Y399,AlcoR,82,228,PF00318,Ribosomal_S2,188,259,41,0.2789,0.5694,True
Q9Y399,AlcoR,236,262,PF00318,Ribosomal_S2,188,259,24,0.8889,0.3333,True
Q9GZR2,AlcoR,357,380,PF00929,RNase_T,245,394,24,1.0,0.16,False
Q6P1L8,AlcoR,56,91,PF00238,Ribosomal_L14,32,144,36,1.0,0.3186,False
Q9NPJ8,AlcoR,35,47,PF02136,NTF2,18,136,13,1.0,0.1092,False
Q9NVS2,AlcoR,97,108,PF01084,Ribosomal_S18,79,128,12,1.0,0.24,False
Q9NVS2,AlcoR,118,136,PF01084,Ribosomal_S18,79,128,11,0.5789,0.22,True
Q8N2G6,AlcoR,110,186,PF13696,zf-CCHC_2,129,149,21,0.2727,1.0,True
O94829,AlcoR,39,70,PF03810,IBN_N,45,107,26,0.8125,0.4127,True
O94829,AlcoR,90,111,PF03810,IBN_N,45,107,18,0.8182,0.2857,True
O94829,AlcoR,139,235,PF08389,Xpo1,117,262,97,1.0,0.6644,False
A3KFL2,AlcoR,18,37,PF14382,ECR1_N,26,63,12,0.6,0.3158,True
A3KFL2,AlcoR,55,95,PF14382,ECR1_N,26,63,9,0.2195,0.2368,True
Q96IZ5,AlcoR,306,333,PF00076,RRM_1,311,379,23,0.8214,0.3333,True
Q96IZ5,AlcoR,356,395,PF00076,RRM_1,311,379,24,0.6,0.3478,True
Q9BR11,AlcoR,74,87,PF21056,ZSWIM1-3_RNaseH-like,47,167,14,1.0,0.1157,False
Q9BR11,AlcoR,130,141,PF21056,ZSWIM1-3_RNaseH-like,47,167,12,1.0,0.0992,False
Q14249,AlcoR,53,68,PF01223,Endonuclease_NS,61,281,8,0.5,0.0362,True
Q14249,AlcoR,77,92,PF01223,Endonuclease_NS,61,281,16,1.0,0.0724,False
Q14249,AlcoR,143,171,PF01223,Endonuclease_NS,61,281,29,1.0,0.1312,False
Q14249,AlcoR,192,210,PF01223,Endonuclease_NS,61,281,19,1.0,0.086,False
Q14249,AlcoR,227,243,PF01223,Endonuclease_NS,61,281,17,1.0,0.0769,False
Q14249,AlcoR,252,273,PF01223,Endonuclease_NS,61,281,22,1.0,0.0995,True
Q14249,AlcoR,280,294,PF01223,Endonuclease_NS,61,281,2,0.1333,0.009,True
Q9H3H1,AlcoR,3,82,PF01715,IPPT,58,331,25,0.3125,0.0912,True
Q9H3H1,AlcoR,109,131,PF01715,IPPT,58,331,23,1.0,0.0839,False
Q9H3H1,AlcoR,149,176,PF01715,IPPT,58,331,28,1.0,0.1022,False
Q9H3H1,AlcoR,322,333,PF01715,IPPT,58,331,10,0.8333,0.0365,True
Q9H9G7,AlcoR,240,254,PF02170,PAZ,249,365,6,0.4,0.0513,True
Q9H9G7,AlcoR,297,310,PF02170,PAZ,249,365,14,1.0,0.1197,False
Q9UL18,AlcoR,661,676,PF02171,Piwi,515,815,16,1.0,0.0532,False
Q9UL18,AlcoR,734,751,PF02171,Piwi,515,815,18,1.0,0.0598,False
Q9UL18,AlcoR,768,793,PF02171,Piwi,515,815,26,1.0,0.0864,False
P54577,AlcoR,290,315,PF00579,tRNA-synt_1b,32,321,26,1.0,0.0897,True
Q9BQ39,AlcoR,154,166,PF00270,DEAD,162,334,5,0.3846,0.0289,True
P62701,AlcoR,76,87,PF01479,S4,44,90,12,1.0,0.2553,True
Q9NX07,AlcoR,1,82,PF00076,RRM_1,5,72,68,0.8293,1.0,True
Q09161,AlcoR,589,601,PF09090,MIF4G_like_2,485,759,13,1.0,0.0473,False
Q9H1J1,AlcoR,71,88,PF03467,Smg4_UPF3,68,225,18,1.0,0.1139,True
Q96T58,AlcoR,314,753,PF00076,RRM_1,339,406,68,0.1545,1.0,True
Q96T58,AlcoR,314,753,PF00076,RRM_1,440,507,68,0.1545,1.0,True
Q96T58,AlcoR,314,753,PF00076,RRM_1,520,583,64,0.1455,1.0,True
Q99633,AlcoR,227,259,PF02840,Prp18,190,331,33,1.0,0.2324,False
Q99633,AlcoR,320,342,PF02840,Prp18,190,331,12,0.5217,0.0845,True
Q9UHK0,AlcoR,157,173,PF12171,zf-C2H2_jaz,173,194,1,0.0588,0.0455,True
Q9UHK0,AlcoR,212,224,PF10453,NUFIP1,216,267,9,0.6923,0.1731,True
Q9UHK0,AlcoR,260,274,PF10453,NUFIP1,216,267,8,0.5333,0.1538,True
Q9BRS2,AlcoR,88,237,PF01163,RIO1,193,380,45,0.3,0.2394,True
Q9BRS2,AlcoR,244,494,PF01163,RIO1,193,380,137,0.5458,0.7287,True
J3KPI1,AlcoR,463,607,PF01248,Ribosomal_L7Ae,466,563,98,0.6759,1.0,True
Q58A45,AlcoR,1,320,PF00642,zf-CCCH,47,68,22,0.0688,1.0,True
O75648,AlcoR,239,421,PF20259,tRNA_Me_trans_M,230,292,54,0.2951,0.8571,True
O96006,AlcoR,334,694,PF27039,ZBED1_RNase-like_helical,289,398,65,0.1801,0.5909,True
P62995,AlcoR,47,288,PF00076,RRM_1,122,190,69,0.2851,1.0,True
Q9NR90,AlcoR,1,246,PF16367,RRM_7,41,126,86,0.3496,1.0,True
Q9NR90,AlcoR,1,246,PF00076,RRM_1,42,98,57,0.2317,1.0,True
A0A5K1VW79,AlcoR,629,755,PF16367,RRM_7,741,830,15,0.1181,0.1667,True
A0A5K1VW79,AlcoR,629,755,PF00076,RRM_1,744,805,12,0.0945,0.1935,True
A0A5K1VW79,AlcoR,758,999,PF16367,RRM_7,741,830,73,0.3017,0.8111,True
A0A5K1VW79,AlcoR,758,999,PF00076,RRM_1,744,805,48,0.1983,0.7742,True
P46087,AlcoR,1,326,PF17125,Methyltr_RsmF_N,295,370,32,0.0982,0.4211,True
P46087,AlcoR,334,647,PF17125,Methyltr_RsmF_N,295,370,37,0.1178,0.4868,True
P46087,AlcoR,334,647,PF01189,Methyltr_RsmB-F,377,585,209,0.6656,1.0,True
O43148,AlcoR,467,476,PF03291,mRNA_G-N7_MeTrfase,137,475,9,0.9,0.0265,True
Q96M93,AlcoR,118,208,PF00035,dsrm,97,162,45,0.4945,0.6818,True
P41250,AlcoR,289,308,PF00587,tRNA-synt_2b,295,369,14,0.7,0.1867,True
